Compound,LogKp,Carboxylic acid,Ester,Ether,Amide,Amine,Ketone,Hydroxyl,Cl,Br,ring
"1,1,1-Trichloropropanone",-5.176,0,0,0,0,0,1,0,3,0,0
"1,1-Dichloropropanone",-4.923,0,0,0,0,0,1,0,2,0,0
"1,2,4-Benzenetriol",-7.456,0,0,0,0,0,0,3,0,0,1
17-Hydroxyprogesterone,-6.778,0,0,0,0,0,2,1,0,0,0
1-Butanol,-5.816,0,0,0,0,0,0,1,0,0,0
1-Decanol,-6.41,0,0,0,0,0,0,1,0,0,0
1-Hexanol,-5.778,0,0,0,0,0,0,1,0,0,0
1-Hexyl-2-Pyrrolidone,-5.208,0,0,0,1,0,0,0,0,0,0
1-Methoxy-2-Propanol,-6.397,0,0,1,0,0,0,1,0,0,0
1-Octanol,-5.642,0,0,0,0,0,0,1,0,0,0
1-Octyl-2-Azacycloheptanone,-4.836,0,0,0,1,0,0,0,0,0,0
1-Octyl-2-Pyrrolidone,-4.827,0,0,0,1,0,0,0,0,0,0
1-Pentanol,-5.778,0,0,0,0,0,0,1,0,0,0
1-Propanol,-6.556,0,0,0,0,0,0,1,0,0,0
2-(2-Ethoxyethoxy)ethanol,-7.436,0,0,2,0,0,0,1,0,0,0
2-(2-Methoxyethoxy)ethanol,-7.242,0,0,2,0,0,0,1,0,0,0
"2,4,6-Trichlorophenol",-4.783,0,0,0,0,0,0,1,3,0,1
"2,4-Dichlorophenol",-4.778,0,0,0,0,0,0,1,2,0,1
2-Butoxyethanol,-5.34,0,0,1,0,0,0,1,0,0,0
2-Ethoxyethanol,-7.687,0,0,1,0,0,0,1,0,0,0
2-Ethoxyethyl acetate,-6.649,0,1,1,0,0,0,0,0,0,0
2-Hydroxypropyl Nicotinate,-8.025,0,1,0,0,1,0,1,0,0,1
2-Methoxyethanol,-6.095,0,0,1,0,0,0,1,0,0,0
2-Naphthol,-4.757,0,0,0,0,0,0,1,0,0,2
2-Phenoxyethanol,-6.43,0,0,1,0,0,0,1,0,0,1
2-Phenylethanol,-5.276,0,0,0,0,0,0,1,0,0,1
2-Phenylphenol,-6.355,0,0,0,0,0,0,1,0,0,2
2-Propoxyethanol,-6.923,0,0,1,0,0,0,1,0,0,0
"3,4-Xylenol",-5,0,0,0,0,0,0,1,0,0,1
"4,4'-Methylenedianiline",-6.219,0,0,0,0,2,0,0,0,0,2
4-Chloro-m-phenylenediamine,-6.234,0,0,0,0,2,0,0,1,0,1
4-Hydroxybenzyl alcohol,-6.255,0,0,0,0,0,0,2,0,0,1
4-Hydroxyphenylacetamide,-6.903,0,0,0,1,0,0,1,0,0,1
4-Hydroxyphenylacetic acid,-6.158,1,0,0,0,0,0,1,0,0,1
4-Propoxyphenol,-5.38,0,0,1,0,0,0,1,0,0,1
5-Aminolevulinic acid,-7.711,1,0,0,0,1,1,0,0,0,0
Acetic acid,-6.079,1,0,0,0,0,0,0,0,0,0
Acetylsalicylic acid,-5.696,1,1,0,0,0,0,0,0,0,1
