Compound,LogKp,Thiol,Amine,Hydroxyl
"1,1,1-Trichloropropanone",-5.176,0,0,0
"1,1-Dichloropropanone",-4.923,0,0,0
"1,2,4-Benzenetriol",-7.456,0,0,3
"1,6-hexanediol diglycidyl ether",-7.423,0,0,0
17-Hydroxyprogesterone,-6.778,0,0,1
1-Butanol,-4.703,0,0,1
1-Decanol,-4.602,0,0,1
1-Hexanol,-2.442,0,0,1
1-Hexyl-2-Pyrrolidone,-5.208,0,0,0
1-Methoxy-2-Propanol,-6.397,0,0,1
1-Octanol,-1.84,0,0,1
1-Octyl-2-Azacycloheptanone,-4.674,0,0,0
1-Octyl-2-Pyrrolidone,-4.81,0,0,0
1-Pentanol,-2.778,0,0,1
1-Propanol,-3.41,0,0,1
2-(2-Ethoxyethoxy)ethanol,-7.436,0,0,1
2-(2-Methoxyethoxy)ethanol,-7.242,0,0,1
"2,4,6-Trichlorophenol",-4.783,0,0,1
"2,4-Dichlorophenol",-4.778,0,0,1
2-Amino-4-Nitrophenol,-6.737,0,1,1
2-Butoxyethanol,-5.34,0,0,1
2-Ethoxyethanol,-5.544,0,0,1
2-Ethoxyethyl acetate,-6.395,0,0,0
2-Hydroxypropyl Nicotinate,-8.025,0,1,1
2-Methoxyethanol,-6.095,0,0,1
2-Naphthol,-4.757,0,0,1
2-Nitro-p-Phenylenediamine,-6.857,0,2,0
2-phenoxyethanol,-6.43,0,0,1
2-Phenylethanol,-5.276,0,0,1
2-Phenylphenol,-5.294,0,0,1
2-Propoxyethanol,-6.543,0,0,1
"3,4-Xylenol",-5,0,0,1
"4,4'-Methylenedianiline",-6.219,0,2,0
4-Amino-2-Nitrophenol,-6.109,0,1,1
4-Chloro-m-Phenylenediamine,-6.234,0,2,0
4-Cyanophenol,-5.731,0,0,1
4-Hydroxybenzyl alcohol,-6.255,0,0,2
4-Hydroxyphenylacetamide,-6.903,0,0,1
4-Hydroxyphenylacetic acid,-6.158,0,0,1
4-Propoxyphenol,-5.38,0,0,1
5-Aminolevulinic acid,-7.711,0,1,0
Acetic acid,-6.079,0,0,0
Acetylsalicylic Acid,-5.696,0,0,0
Acyclovir,-7.079,0,4,1
Aldosterone,-7.793,0,0,2
Amobarbital,-6.201,0,0,0
Aspartic acid,-7.432,0,1,0
Atenolol,-4.764,0,1,1
Barbital,-7.509,0,0,0
Benzene,-4.352,0,0,0
Benzoic acid,-5.156,0,0,0
Benzyl nicotinate,-5.348,0,1,0
Betamethasone,-7.153,0,0,3
Bisoprolol Fumarate,-7.125,0,1,1
Borax,-7.326,0,0,0
Boric acid,-7.199,0,0,3
Bromoacetic acid,-6.41,0,0,0
Bromochloroacetic acid,-6.352,0,0,0
Bromodichloromethane,-4.301,0,0,0
Butan-2-one,-5.903,0,0,0
Butobarbital,-7.268,0,0,0
Butoxyethanol,-5.982,0,0,1
Butyl nicotinate,-5.335,0,1,0
Caffeine,-6.352,0,2,0
Carvacrol,-4.81,0,0,1
Catechol,-6.066,0,0,2
Celiprolol Hydrochloride,-6.785,0,2,1
Chloral hydrate,-5.965,0,0,2
Chloroacetic acid,-6.515,0,0,0
Chloroacetonitrile,-4.561,0,0,0
Chlorocresol,-4.816,0,0,1
Chlorodibromomethane,-4.255,0,0,0
Chloroform,-4.352,0,0,0
Chloroxylenol,-4.651,0,0,1
Chlorpheniramine,-6.216,0,2,0
Chlorpyrifos,-7.158,0,1,0
Codeine,-7.866,0,1,1
Cortexolone,-7.681,0,0,2
Cortexone,-6.903,0,0,1
Corticosterone,-7.079,0,0,2
Cortisone,-7.38,0,0,2
Dexamethasone,-7.75,0,0,3
Diazinon,-5.617,0,1,0
Dibromoacetic acid,-6.141,0,0,0
Dichloroacetic acid,-6.278,0,0,0
Diclofenac,-6.556,0,1,0
Diethyl ether,-5.352,0,0,0
Diethylcarbamazine,-7.459,0,2,0
Diethylene glycol mono n-butyl ether acetate,-7.051,0,0,0
Diethylene glycol monobutyl ether,-7.071,0,0,1
Digitoxin,-8.442,0,0,5
Dimethylethylamine,-6.079,0,1,0
Dipropylene glycol mono methyl ether,-7.515,0,0,1
Disodium octaborate tetrahydrate,-7.653,0,0,0
Ephedrine,-5.778,0,1,1
Estradiol,-4.815,0,0,2
Estriol,-7.954,0,0,3
Estrone,-6,0,0,1
Ethacrynic acid,-7.38,0,0,0
Ethanol,-3.653,0,0,1
