Compound,LogKp,Thiol,Carboxylic acid,Ester,Ether,Amide,Amine,Ketone,Hydroxyl
"1,1,1-Trichloropropanone",-5.176,0,0,0,0,0,0,1,0
"1,1-Dichloropropanone",-4.923,0,0,0,0,0,0,1,0
"1,2,4-Benzenetriol",-7.456,0,0,0,0,0,0,0,3
"1,6-hexanediol diglycidyl ether",-7.423,0,0,0,4,0,0,0,0
17-Hydroxyprogesterone,-6.778,0,0,0,0,0,0,2,1
1-Butanol,-7.778,0,0,0,0,0,0,0,1
1-Decanol,-9.653,0,0,0,0,0,0,0,1
1-Hexanol,-7.84,0,0,0,0,0,0,0,1
1-Hexyl-2-Pyrrolidone,-5.208,0,0,0,0,1,0,0,0
1-Methoxy-2-Propanol,-6.459,0,0,0,1,0,0,0,1
1-Octanol,-8.556,0,0,0,0,0,0,0,1
1-Octyl-2-Azacycloheptanone,-4.836,0,0,0,0,1,0,0,0
1-Octyl-2-Pyrrolidone,-4.827,0,0,0,0,1,0,0,0
1-Pentanol,-7.849,0,0,0,0,0,0,0,1
1-Propanol,-7.352,0,0,0,0,0,0,0,1
2-(2-Ethoxyethoxy)ethanol,-7.436,0,0,0,2,0,0,0,1
2-(2-Methoxyethoxy)ethanol,-7.242,0,0,0,2,0,0,0,1
"2,4,6-Trichlorophenol",-4.783,0,0,0,0,0,0,0,1
"2,4-Dichlorophenol",-5.065,0,0,0,0,0,0,0,1
2-Amino-4-Nitrophenol,-8.079,0,0,0,0,0,1,0,1
2-Butoxyethanol,-7.226,0,0,0,1,0,0,0,1
2-Ethoxyethanol,-7.785,0,0,0,1,0,0,0,1
2-Ethoxyethyl acetate,-6.649,0,0,1,1,0,0,0,0
2-Hydroxypropyl Nicotinate,-8.025,0,0,1,0,0,1,0,1
2-Methoxyethanol,-6.095,0,0,0,1,0,0,0,1
2-Naphthol,-5.111,0,0,0,0,0,0,0,1
2-Nitro-p-Phenylenediamine,-6.857,0,0,0,0,0,2,0,0
2-Phenoxyethanol,-6.43,0,0,0,1,0,0,0,1
2-Phenylethanol,-5.276,0,0,0,0,0,0,0,1
2-Phenylphenol,-6.355,0,0,0,0,0,0,0,1
2-Propoxyethanol,-6.923,0,0,0,1,0,0,0,1
"3,4-Xylenol",-5,0,0,0,0,0,0,0,1
"4,4'-Methylenedianiline",-6.219,0,0,0,0,0,2,0,0
4-Amino-2-Nitrophenol,-7.622,0,0,0,0,0,1,0,1
4-Chloro-m-phenylenediamine,-6.234,0,0,0,0,0,2,0,0
4-Cyanophenol,-5.731,0,0,0,0,0,0,0,1
4-Hydroxybenzyl alcohol,-6.255,0,0,0,0,0,0,0,2
4-Hydroxyphenylacetamide,-6.903,0,0,0,0,1,0,0,1
4-Hydroxyphenylacetic acid,-6.158,0,1,0,0,0,0,0,1
4-Propoxyphenol,-5.38,0,0,0,1,0,0,0,1
5-Aminolevulinic acid,-7.711,0,1,0,0,0,1,1,0
Acetic acid,-6.079,0,1,0,0,0,0,0,0
Acetylsalicylic acid,-5.696,0,1,1,0,0,0,0,0
Acyclovir,-7.778,0,0,0,1,1,4,0,1
Aldosterone,-9.079,0,0,0,0,0,0,3,2
Amobarbital,-6.201,0,0,0,0,2,0,1,0
Aspartic acid,-7.585,0,2,0,0,0,1,0,0
Atenolol,-7.857,0,0,0,1,2,1,0,1
Barbital,-7.509,0,0,0,0,2,0,1,0
Benzene,-4.511,0,0,0,0,0,0,0,0
Benzoic acid,-5.675,0,1,0,0,0,0,0,0
Benzyl nicotinate,-5.348,0,0,1,0,0,1,0,0
Betamethasone,-7.153,0,0,0,0,0,0,2,3
Bisoprolol Fumerate,-7.125,0,1,1,3,0,1,0,1
Borax,-7.326,0,0,0,0,0,0,0,0
Boric acid,-7.199,0,0,0,0,0,0,0,3
Bromoacetic acid,-6.41,0,1,0,0,0,0,0,0
Bromochloroacetic acid,-6.352,0,1,0,0,0,0,0,0
Bromodichloromethane,-4.301,0,0,0,0,0,0,0,0
Butan-2-one,-5.903,0,0,0,0,0,0,1,0
Butobarbital,-7.268,0,0,0,0,2,0,1,0
Butoxyethanol,-6.364,0,0,0,1,0,0,0,1
Butyl nicotinate,-5.335,0,0,1,0,0,1,0,0
Caffeine,-7.556,0,0,0,0,2,2,0,0
Carvacrol,-4.842,0,0,0,0,0,0,0,1
Catechol,-6.066,0,0,0,0,0,0,0,2
Celiprolol Hydrochloride,-6.785,0,0,0,1,1,2,1,1
Chloral hydrate,-5.965,0,0,0,0,0,0,0,2
Chloroacetic acid,-6.515,0,1,0,0,0,0,0,0
Chloroacetonitrile,-4.561,0,0,0,0,0,0,0,0
Chlorocresol,-5,0,0,0,0,0,0,0,1
Chlorodibromomethane,-4.255,0,0,0,0,0,0,0,0
Chloroform ,-4.352,0,0,0,0,0,0,0,0
Chloroxylenol,-4.785,0,0,0,0,0,0,0,1
Chlorpheniramine,-6.491,0,0,0,0,0,2,0,0
Chlorpyrifos,-7.158,0,0,0,0,0,1,0,0
Codeine,-7.866,0,0,0,2,0,1,0,1
Cortexolone,-7.681,0,0,0,0,0,0,2,2
Cortexone,-6.903,0,0,0,0,0,0,2,1
Corticosterone,-8.206,0,0,0,0,0,0,2,2
Cortisone,-8.556,0,0,0,0,0,0,3,2
Dexamethasone,-7.75,0,0,0,0,0,0,2,3
Diazinon,-5.617,0,0,0,0,0,1,0,0
Dibromoacetic acid,-6.141,0,1,0,0,0,0,0,0
Dichloroacetic acid,-6.278,0,1,0,0,0,0,0,0
Diclofenac,-6.556,0,1,0,0,0,1,0,0
Diethyl ether,-5.352,0,0,0,1,0,0,0,0
Diethylcarbamazine,-7.459,0,0,0,0,1,2,0,0
Diethylene glycol mono n-butyl ether acetate,-7.778,0,0,1,2,0,0,0,0
Diethylene glycol monobutyl ether,-8.004,0,0,0,2,0,0,0,1
Digitoxin,-8.442,0,0,1,6,0,0,0,5
Dimethylethylamine,-6.079,0,0,0,0,0,1,0,0
Dipropylene glycol mono methyl ether,-7.653,0,0,0,2,0,0,0,1
Disodium octaborate tetrahydrate,-7.653,0,0,0,0,0,0,0,0
Ephedrine,-6.326,0,0,0,0,0,1,0,1
Estradiol,-7.079,0,0,0,0,0,0,0,2
Estriol,-7.954,0,0,0,0,0,0,0,3
Estrone,-6,0,0,0,0,0,0,1,1
Ethacrynic acid,-7.38,0,1,0,1,0,0,1,0
Ethanol,-7.079,0,0,0,0,0,0,0,1
Ethyl 3-ethoxypropionate,-6.669,0,0,1,1,0,0,0,0
Ethyl nicotinate,-5.755,0,0,1,0,0,1,0,0
Ethyl p-aminobenzoate,-5.255,0,0,1,0,0,1,0,0
Ethylene glycol mono isopropyl ether,-7.125,0,0,0,1,0,0,0,1
Ethylene glycol mono methyl ether acetate,-6.637,0,0,1,2,0,0,0,0
Etodolac,-5.683,0,1,0,1,0,1,0,0
Etorphine,-6,0,0,0,2,0,1,0,2
Famotidine,-8.345,2,0,0,0,0,7,0,0
Fentanyl,-7.079,0,0,0,0,1,1,0,0
Flufenamic acid,-6.201,0,1,0,0,0,1,0,0
Fluocinonide,-6.326,0,0,1,2,0,0,2,1
Flurbiprofen,-5.331,0,1,0,0,0,0,0,0
Flurbiprofen glucoside,-6.477,0,0,1,1,0,0,0,4
Flurbiprofen mannoside,-6.935,0,0,1,1,0,0,0,4
Glyphosate,-6.894,0,1,0,0,0,0,0,2
Haloperidol,-7.03,0,0,0,0,0,1,1,1
Histidine,-7.903,0,1,0,0,0,3,0,0
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,0,0,1,0,0,0,2,3
"Hydrocortisone 21-(N,N-dimethylsuccinamate)",-7.73,0,0,1,0,1,0,2,2
Hydrocortisone 21-Hemipimelate,-6.301,0,0,1,0,0,0,2,2
Hydrocortisone 21-Hemisuccinate,-6.757,0,0,1,0,0,0,2,2
Hydrocortisone 21-methylsuccinate,-7.234,0,0,2,0,0,0,2,2
Hydrocortisone 21-pimelamate,-6.607,0,0,1,0,1,0,2,2
Hydrocortisone 21-propionate,-6.038,0,0,1,0,0,0,2,2
Hydrocortisone 21-succinamate,-8.141,0,0,1,0,1,0,2,2
Hydroquinone,-8.586,0,0,0,0,0,0,0,2
Hydroxypregnenolone,-6.778,0,0,0,0,0,0,1,2
Ibuprofen,-5.503,0,1,0,0,0,0,0,0
Ibuprofen glucoside,-6.945,0,0,1,1,0,0,0,4
Ibuprofen mannoside,-6.548,0,0,1,1,0,0,0,4
Indomethacin,-6.997,0,1,0,1,1,0,0,0
Isoquinoline,-5.332,0,0,0,0,0,1,0,0
Ketoprofen,-6.768,0,1,0,0,0,0,1,0
Ketoprofen glucoside,-7.731,0,0,1,1,0,0,0,4
Ketoprofen mannoside,-7.594,0,0,1,1,0,0,0,4
Ketorolac,-5.799,0,1,0,0,0,1,1,0
L-alanyl-L-tryptophan,-8.637,0,1,0,0,1,1,0,0
Lidocaine,-7.021,0,0,0,0,1,0,0,0
Linolenic acid,-5.988,0,1,0,0,0,0,0,0
Lysine,-7.328,0,1,0,0,0,2,0,0
Mannitol,-8.158,0,0,0,0,0,0,0,6
m-Cresol,-5.373,0,0,0,0,0,0,0,1
Meperidine,-5.988,0,0,1,0,0,1,0,0
Methanol,-6.857,0,0,0,0,0,0,0,1
Methotrexate,-7.503,0,2,0,0,1,7,0,0
Methyl 4-hydroxybenzoate,-5.634,0,0,1,0,0,0,0,1
Methyl 4-hydroxyphenylacetate,-5.255,0,0,1,0,0,0,0,1
Methyl nicotinate,-6.046,0,0,1,0,0,1,0,0
Methyl p-aminobenzoate,-5.195,0,0,1,0,0,1,0,0
Methyl salicylate,-5,0,0,1,0,0,0,0,1
Methyltriglycol nicotinate,-7.308,0,0,1,3,0,1,0,0
Metoprolol,-6.637,0,0,0,2,0,1,0,1
m-Nitrophenol,-5.805,0,0,0,0,0,0,0,1
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,0,0,0,1,2,1,0,3
Naphthol,-5.141,0,0,0,0,0,0,0,1
Naproxen,-7.218,0,1,0,1,0,0,0,0
Naproxen glucoside,-7.886,0,0,1,2,0,0,0,4
Naproxen mannoside,-7.7,0,0,1,2,0,0,0,4
n-Hexyl nicotinate,-5.303,0,0,1,0,0,1,0,0
Nicorandil,-7.131,0,0,0,0,1,1,0,0
Nicotine,-6.036,0,0,0,0,0,2,0,0
Nimesulide,-6.551,0,0,0,1,0,1,0,0
Nitroglycerin,-5.556,0,0,0,0,0,0,0,0
Nizatidine,-7.981,2,0,0,0,0,4,0,0
n-Nitrosodiethanolamine,-5.944,0,0,0,0,0,1,0,2
Nortriptyline hydrochloride,-7.959,0,0,0,0,0,1,0,0
o-Chlorophenol,-5.037,0,0,0,0,0,0,0,1
o-Cresol,-5.36,0,0,0,0,0,0,0,1
o-Cresol glycidyl ether,-7.588,0,0,0,2,0,0,0,0
Octylparaben,-5.588,0,0,1,0,0,0,0,1
Oleic acid,-6.442,0,1,0,0,0,0,0,0
o-Phenylenediamine,-6.903,0,0,0,0,0,2,0,0
o-t-Butylphenol,-4.685,0,0,0,0,0,0,0,1
Ouabain,-9.653,0,0,1,2,0,0,0,8
Oxprenolol,-6.369,0,0,0,2,0,1,0,1
Paraquat,-8.617,0,0,0,0,0,2,0,0
Parathion,-7.28,0,0,0,0,0,0,0,0
p-Bromophenol,-4.999,0,0,0,0,0,0,0,1
p-Chlorophenol,-4.996,0,0,0,0,0,0,0,1
p-Cresol,-5.313,0,0,0,0,0,0,0,1
p-Ethylphenol,-5.014,0,0,0,0,0,0,0,1
Phenobarbital,-6.9,0,0,0,0,2,0,1,0
Phenol,-5.614,0,0,0,0,0,0,0,1
Phloroglucinol,-6.066,0,0,0,0,0,0,0,3
p-n-Butylphenol,-4.671,0,0,0,0,0,0,0,1
p-Nitrophenol,-5.81,0,0,0,0,0,0,0,1
