Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA (Å^2),Molecular Volume
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188,17.07,105.29
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964,17.07,92.08
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141,60.69,108.1
1-Butanol,-7.778,74.123,0.805,1,1,-0.21,20.23,87.62
1-Decanol,-9.653,158.285,3.473,1,1,-3.451,"	20.23",188.43
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37,21.76,271.57
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844,20.23,138.03
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303,20.23,121.22
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319,20.31,184.54
1-Methoxy-2-Propanol,-6.459,90.122,-0.149,1,2,0.504,"	29.46",96.39
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918,20.23,171.63
1-Octanol,-8.556,130.231,2.584,1,1,-2.383,20.23,154.83
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37,20.31,218.14
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758,20.23,104.42
1-Propanol,-7.352,60.096,0.361,1,1,0.341,20.23,70.82
17-Hydroxyprogesterone,-6.778,330.468,3.401,1,3,-4.674,54.37,326.76
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363,40.46,95.45
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296,20.23,132.67
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514,20.23,119.13
2-(2-Ethoxyethoxy)ethanol,-7.436,134.175,-0.256,1,3,0.386,38.69,139.19
2-(2-Methoxyethoxy)ethanol,-7.242,120.148,-0.613,1,3,0.748,38.69,122.39
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539,89.39,126.68
2-Butoxyethanol,-7.226,118.176,0.758,1,2,-0.444,29.46,130.21
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517,29.46,96.6
