Compound,LogKp,TPSA,MV
"1,1,1-Trichloropropanone",-5.176,17.07,105.29
"1,1-Dichloropropanone",-4.923,17.07,92.08
"1,2,4-Benzenetriol",-7.456,60.69,108.1
1-Butanol,-7.778,20.23,87.62
1-Decanol,-9.653,"	20.23",188.43
1-Dodecyl glycidyl ether,-9.036,21.76,271.57
1-Heptanol,-8.158,20.23,138.03
1-Hexanol,-7.84,20.23,121.22
1-Hexyl-2-Pyrrolidone,-5.028,20.31,184.54
1-Methoxy-2-Propanol,-6.459,"	29.46",96.39
1-Nonanol,-9.079,20.23,171.63
1-Octanol,-8.556,20.23,154.83
1-Octyl-2-Pyrrolidone,-4.827,20.31,218.14
1-Pentanol,-7.849,20.23,104.42
1-Propanol,-7.352,20.23,70.82
17-Hydroxyprogesterone,-6.778,54.37,326.76
"2,3-Butanediol",-7.857,40.46,95.45
"2,4,6-Trichlorophenol",-4.783,20.23,132.67
"2,4-Dichlorophenol",-4.778,20.23,119.13
2-(2-Ethoxyethoxy)ethanol,-7.436,38.69,139.19
2-(2-Methoxyethoxy)ethanol,-7.242,38.69,122.39
2-Amino-4-Nitrophenol,-8.079,89.39,126.68
2-Butoxyethanol,-7.226,29.46,130.21
2-Ethoxyethanol,-7.687,29.46,96.6
2-Ethoxyethyl acetate,-6.649,35.53,133.12
2-Ethylhexanol,-7.687,20.23,154.61
2-Hydroxypropyl Nicotinate,-8.025,59.42,166.06
2-Methoxyethanol,-6.095,29.46,79.8
2-Naphthol,-4.757,"	20.23",136.05
2-Nitro-p-Phenylenediamine,-6.857,95.18,129.96
2-Phenoxyethanol,-6.43,29.46,134.65
2-Phenylphenol,-6.355,"	20.23",163.47
2-Propoxyethanol,-6.923,29.46,113.41
"3,4-Xylenol",-5,20.23,125.18
"4,4'-Methylenedianiline",-6.219,52.04,194.83
4-Amino-2-Nitrophenol,-7.622,89.39,126.68
4-Chloro-m-phenylenediamine,-6.234,52.04,120.16
4-Cyanophenol,-5.731,44.02,108.92
4-Hydroxybenzyl alcohol,-6.255,40.46,116.88
4-Hydroxyphenylacetamide,-6.903,63.32,139.13
4-Hydroxyphenylacetic acid,-6.158,57.53,135.86
4-Propoxyphenol,-5.38,29.46,151.21
5-Aminolevulinic acid,-7.711,80.39,120.31
5-Fluorouracil,-8.015,58.2,96.91
Acetic acid,-6.079,37.3,56.2
Acetylsalicylic acid,-5.696,63.6,155.57
Acyclovir,-7.079,114.76,187.75
Aldosterone,-9.079,91.67,337.79
Amobarbital,-6.201,"	75.27",216.97
Amphetamine,-8.409,26.02,145.52
Aspartic acid,-7.585,100.62,111.56
Atenolol,-7.857,84.58,260.9
Atropine,-8.635,49.77,279.01
Barbital,-7.509,75.27,166.78
Benzene,-4.511,0,84.04
Benzoic acid,-5.156,37.3,111.05
Benzyl nicotinate,-5.348,39.19,196.07
Betamethasone,-7.153,94.83,358.07
Betamethasone-17-valerate,-5.525,100.9,444.99
Bis(2-ethylhexyl)phthalate,-8.8,"	52.6",407.9
Bisoprolol Fumerate,-7.125,"	59.95",332.15
Bisphenol A diglycidyl ether,-9.875,43.52,320.2
Boric acid,-7.199,60.69,74.73
Bromoacetic acid,-6.41,"	37.3",74.32
Bromochloroacetic acid,-6.352,37.3,87.89
Bromochloroacetonitrile,-4.352,23.79,77.74
Bromodichloromethane,-4.301,0,74.42
Bromoform,-4.234,0,83.12
Butan-2-one,-5.903,17.07,81.54
Butobarbital,-7.268,75.27,200.38
Butoxyethanol,-6.364,29.46,130.21
Butyl 4-hydroxybenzoate,-4.538,"	46.53",187
Butyl nicotinate,-5.335,39.19,174.82
Butyl p-aminobenzoate,-4.607,52.32,190.27
Caffeine,-6.828,58.44,167.63
Carvacrol,-4.81,20.23,158.57
Catechol,-6.066,40.46,100.08
Celiprolol Hydrochloride,-6.785,"	90.9",376.51
Chloral hydrate,-5.965,40.46,102.61
Chloroacetic acid,-6.515,37.3,69.97
Chloroacetonitrile,-4.561,23.79,59.83
Chlorocresol,-5,20.23,122.16
Chlorodibromomethane,-4.255,0,78.77
Chloroform ,-4.352,0,70.07
Chloroxylenol,-4.651,20.23,138.72
Chlorpheniramine,-6.491,16.13,261.17
Chlorpyrifos,-7.158,40.58,251.4
Clotrimazole,-9.255,"	17.82",309.52
Codeine,-7.866,41.93,274.21
Cortexolone,-7.681,74.6,335.02
Cortexone,-6.903,54.37,327.33
Corticosterone,-8.206,74.6,335.37
Cortisone,-8.556,91.67,337.2
Cytarabine,-8.856,128.61,201.84
Dexamethasone,-7.75,94.83,358.07
Diazinon,-5.617,53.47,273.15
Dibromoacetic acid,-6.141,37.3,92.23
Dibromoacetonitrile,-4.326,23.79,82.09
Dibutyl Phthalate,-9.195,52.6,273.91
Dichloroacetic acid,-6.278,37.3,83.54
Dichloroacetonitrile,-4.38,23.79,73.39
Diclofenac,-6.556,49.33,238.73
Diethyl ether,-5.352,"	9.23",88.34
Diethyl Phthalate,-8.499,52.6,206.71
Diethylcarbamazine,-7.459,26.79,209.62
Digitoxin,-8.442,182.83,712.09
Dimethyl Phthalate,-8.035,52.6,173.1
Dimethylethylamine,-6.079,3.24,91.9
Ephedrine,-6.326,32.26,171.24
Estradiol,-5.829,"	40.46",268.74
Estriol,-7.954,60.69,276.78
Estrone,-6,37.3,262.88
Ethacrynic acid,-7.38,63.6,243.98
Ethanol,-6.699,20.23,54.02
Ethyl 3-ethoxypropionate,-6.669,"	35.53",149.92
Ethyl nicotinate,-5.755,39.19,141.22
Ethyl p-aminobenzoate,-5.255,"	52.32",156.66
Etodolac,-5.683,"	62.32",271.8
Etorphine,-6,"	62.16",387.59
Famotidine,-8.345,175.83,262.24
Fentanyl,-5.556,23.55,340.16
