Compound,log kp (cm/s),MW,LogP,HBD,HBA,LogS
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866
Bromoform,-4.234,252.731,2.276,0,0,-2.172
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034
Chloroform ,-4.352,119.37,1.825,0,0,-1.666
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932
Methanol,-5.539,32.042,-0.519,1,1,1.111
Ethanol,-6.699,46.069,-0.162,1,1,0.77
1-Propanol,-7.352,60.096,0.361,1,1,0.341
1-Butanol,-7.778,74.123,0.805,1,1,-0.21
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844
1-Octanol,-8.556,130.231,2.584,1,1,-2.383
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918
1-Decanol,-9.653,158.285,3.473,1,1,-3.451
1-Methoxy-2-Propanol,-6.459,90.122,-0.149,1,2,0.504
2-(2-Ethoxyethoxy)ethanol,-7.436,134.175,-0.256,1,3,0.386
2-(2-Methoxyethoxy)ethanol,-7.242,120.148,-0.613,1,3,0.748
2-Butoxyethanol,-7.226,118.176,0.758,1,2,-0.444
2-Ethoxyethyl acetate,-6.649,122.167,2.628,1,1,-1.75
2-Methoxyethanol,-6.095,76.095,-0.566,1,2,0.889
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517
2-Ethylhexanol,-7.687,130.231,2.504,1,1,-2.332
Ethyl 3-ethoxypropionate,-6.669,146.186,0.699,0,2,-0.451
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028
Parathion,-7.28,291.26,3.315,0,2,-4.513
Boric acid,-7.199,61.83,-0.509,3,3,1.829
