Compound,LogKp,MW,LogP,HBD,HBA,LogS
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979
m-Cresol,-5.373,108.14,2.183,1,1,-1.439
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714
o-Cresol,-5.36,108.14,2.183,1,1,-1.21
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714
p-Cresol,-5.313,108.14,2.183,1,1,-1.439
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983
Caffeine,-6.828,194.194,-0.546,0,3,-0.437
Hydroquinone,-8.586,110.112,1.366,2,2,-0.52
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744
Benzyl nicotinate,-5.348,213.236,2.484,0,2,-2.391
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742
Carvacrol,-4.81,150.221,3.428,1,1,-2.756
Chlorocresol,-5,142.58,2.787,1,1,-2.021
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288
Methyl salicylate,-5,152.149,2.323,1,2,-1.288
