Compound,LogKp,MW,LogP,HBD,HBA,LogS
Methanol,-5.539,32.042,-0.519,1,1,1.111
Ethanol,-6.699,46.069,-0.162,1,1,0.77
1-Propanol,-7.352,60.096,0.361,1,1,0.341
1-Butanol,-7.778,74.123,0.805,1,1,-0.21
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844
1-Octanol,-8.556,130.231,2.584,1,1,-2.383
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918
1-Decanol,-9.653,158.285,3.473,1,1,-3.451
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979
m-Cresol,-5.373,108.14,2.183,1,1,-1.439
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714
o-Cresol,-5.36,108.14,2.183,1,1,-1.21
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714
p-Cresol,-5.313,108.14,2.183,1,1,-1.439
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983
17-Hydroxyprogesterone,-6.778,330.468,3.401,1,3,-4.674
Aldosterone,-9.079,360.45,1.056,2,5,-2.621
Cortexolone,-7.681,346.467,2.584,2,4,-4.481
Cortexone,-6.903,330.468,3.331,1,3,-5.438
Cortisone,-8.556,360.45,1.661,2,5,-2.869
Estriol,-7.954,288.387,2.671,3,3,-3.63
Estrone,-6,270.372,4.309,1,2,-4.176
Hydroxypregnenolone,-6.778,332.484,2.834,2,3,-3.866
Pregnenolone,-6.38,316.485,3.581,1,2,-4.819
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52
Corticosterone,-8.206,346.467,2.023,2,4,-3.681
Prednisolone,-7.906,360.45,1.273,3,5,-3.46
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519
