Compound,LogKp,MW,LogP,HBD,HBA,LogS
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983
Caffeine,-6.828,194.194,-0.546,0,3,-0.437
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517
2-Ethylhexanol,-7.687,130.231,2.504,1,1,-2.332
Ethyl 3-ethoxypropionate,-6.669,146.186,0.699,0,2,-0.451
Hydroquinone,-8.586,110.112,1.366,2,2,-0.52
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742
Carvacrol,-4.81,150.221,3.428,1,1,-2.756
Chlorocresol,-5,142.58,2.787,1,1,-2.021
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288
Methyl salicylate,-5,152.149,2.323,1,2,-1.288
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051
Thymol,-4.77,150.221,3.428,1,1,-2.756
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
"4,4'-Methylenedianiline",-6.219,198.269,2.407,2,2,-3.028
Trimethylamine,-7.284,59.112,0.19,0,1,0.902
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555
L-alanyl-L-tryptophan,-8.38,275.308,-1.625,4,4,-2.892
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
Amobarbital,-6.201,226.276,1.893,2,3,-3.091
Barbital,-7.509,184.195,0.717,2,3,-1.596
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Atenolol,-7.857,266.341,0.425,3,4,-1.572
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028
Water,-6.751,18.015,-0.652,1,1,0.531
Boric acid,-7.199,61.83,-0.509,3,3,1.829
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363
Butan-2-one,-5.903,72.107,0.807,0,1,-0.028
Diethyl ether,-5.352,74.123,0.838,0,1,0.054
Atropine,-8.635,289.375,1.571,1,3,-1.614
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351
Digitoxin,-8.442,764.95,3.597,5,12,-3.788
Ephedrine,-6.326,165.236,1.318,2,2,-1.172
Estradiol,-5.829,272.388,3.746,2,2,-3.986
Fentanyl,-5.556,336.479,3.815,0,2,-4.077
Ouabain,-9.653,584.659,-2.782,8,11,-0.807
Scopolamine,-9.128,303.358,0.895,1,4,-2.079
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Ketorolac,-5.799,255.273,2.283,1,3,-2.735
Lindane,-8.784,290.81,4.346,0,0,-4.211
Mannitol,-7.923,182.172,-3.73,6,6,1.16
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Nicorandil,-7.131,211.177,-0.162,1,5,-1.582
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196
Benzene,-4.511,78.114,1.973,0,0,-1.266
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Chlorpyrifos,-7.158,350.57,4.784,0,1,-6.057
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
Indomethacin,-6.997,357.79,3.53,1,4,-4.252
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244
