Compound,LogKp,MW,LogP,HBD,HBA,LogS
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866
Bromoform,-4.234,252.731,2.276,0,0,-2.172
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034
Chloroform ,-4.352,119.37,1.825,0,0,-1.666
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744
Benzyl nicotinate,-5.348,213.236,2.484,0,2,-2.391
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
Fluocinonide,-6.326,494.532,2.046,1,6,-4.745
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,476.61,2.314,3,6,-3.268
Hydrocortisone 21-Hexanoate,-5.301,460.611,3.751,2,5,-5.014
Hydrocortisone 21-methylsuccinate,-7.234,475.559,2.084,2,7,-3.228
Hydrocortisone 21-octanoate,-4.764,488.665,4.64,2,5,-5.937
Hydrocortisone 21-propionate,-6.038,418.53,2.417,2,5,-3.607
Hydrocortisone 21-succinamate,-8.141,460.548,-0.813,3,7,-3.058
Sucrose,-8.583,342.297,-4.529,8,11,0.402
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453
Diclofenac,-6.556,296.15,4.259,2,3,-4.298
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504
Naproxen,-6.096,230.263,2.986,1,3,-3.447
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
Amobarbital,-6.201,226.276,1.893,2,3,-3.091
Barbital,-7.509,184.195,0.717,2,3,-1.596
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Histidine,-7.812,155.157,-3.616,3,4,-0.444
Lysine,-7.328,146.19,-3.215,3,4,0.116
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Glyphosate,-6.894,169.073,-3.099,4,6,2.058
Malathion,-4.249,330.35,1.857,0,2,-2.657
Parathion,-7.28,291.26,3.315,0,2,-4.513
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141
Catechol,-6.066,110.112,1.366,2,2,-0.52
Phenol,-5.586,94.113,1.67,1,1,-0.895
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141
Resorcinol,-6.626,110.112,1.366,2,2,-0.52
Codeine,-7.866,299.37,1.343,1,4,-1.828
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632
Meperidine,-5.988,247.338,2.456,0,2,-1.314
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Morphine,-9.352,285.343,0.895,2,4,-1.415
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Raffinose,-8.208,504.438,-6.3,11,16,0.692
Urea,-7.317,60.056,-1.364,2,1,0.552
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Etorphine,-6,411.542,2.472,2,5,-2.923
Haloperidol,-7.03,375.87,3.661,1,3,-4.396
