Compound,LogKp,MW,LogP,HBD,HBA,LogS
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866
Bromoform,-4.234,252.731,2.276,0,0,-2.172
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034
Chloroform ,-4.352,119.37,1.825,0,0,-1.666
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267
Caffeine,-6.828,194.194,-0.546,0,3,-0.437
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
"4,4'-Methylenedianiline",-6.219,198.269,2.407,2,2,-3.028
Trimethylamine,-7.284,59.112,0.19,0,1,0.902
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453
Diclofenac,-6.556,296.15,4.259,2,3,-4.298
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504
Naproxen,-6.096,230.263,2.986,1,3,-3.447
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
Amobarbital,-6.201,226.276,1.893,2,3,-3.091
Barbital,-7.509,184.195,0.717,2,3,-1.596
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Histidine,-7.812,155.157,-3.616,3,4,-0.444
Lysine,-7.328,146.19,-3.215,3,4,0.116
Atenolol,-7.857,266.341,0.425,3,4,-1.572
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028
Glyphosate,-6.894,169.073,-3.099,4,6,2.058
Malathion,-4.249,330.35,1.857,0,2,-2.657
