Compound,LogKp,MW,LogP,HBD,HBA,LogS
Methanol,-5.539,32.042,-0.519,1,1,1.111
Ethanol,-6.699,46.069,-0.162,1,1,0.77
1-Propanol,-7.352,60.096,0.361,1,1,0.341
1-Butanol,-7.778,74.123,0.805,1,1,-0.21
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844
1-Octanol,-8.556,130.231,2.584,1,1,-2.383
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918
1-Decanol,-9.653,158.285,3.473,1,1,-3.451
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37
1-Methoxy-2-Propanol,-6.459,90.122,-0.149,1,2,0.504
2-(2-Ethoxyethoxy)ethanol,-7.436,134.175,-0.256,1,3,0.386
2-(2-Methoxyethoxy)ethanol,-7.242,120.148,-0.613,1,3,0.748
2-Butoxyethanol,-7.226,118.176,0.758,1,2,-0.444
2-Ethoxyethyl acetate,-6.649,122.167,2.628,1,1,-1.75
2-Methoxyethanol,-6.095,76.095,-0.566,1,2,0.889
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979
m-Cresol,-5.373,108.14,2.183,1,1,-1.439
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714
o-Cresol,-5.36,108.14,2.183,1,1,-1.21
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714
p-Cresol,-5.313,108.14,2.183,1,1,-1.439
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983
Caffeine,-6.828,194.194,-0.546,0,3,-0.437
Hydroquinone,-8.586,110.112,1.366,2,2,-0.52
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744
Benzyl nicotinate,-5.348,213.236,2.484,0,2,-2.391
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742
Carvacrol,-4.81,150.221,3.428,1,1,-2.756
Chlorocresol,-5,142.58,2.787,1,1,-2.021
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288
Methyl salicylate,-5,152.149,2.323,1,2,-1.288
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051
Thymol,-4.77,150.221,3.428,1,1,-2.756
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
"4,4'-Methylenedianiline",-6.219,198.269,2.407,2,2,-3.028
Trimethylamine,-7.284,59.112,0.19,0,1,0.902
4-Hydroxybenzyl alcohol,-6.255,124.139,0.902,2,2,-0.482
4-Hydroxyphenylacetamide,-6.903,151.165,0.5,2,2,-0.742
4-Hydroxyphenylacetic acid,-6.158,152.149,1.307,2,3,-0.645
Methyl 4-hydroxyphenylacetate,-5.255,166.176,1.453,1,2,-0.859
Toluene,-3.637,92.141,2.487,0,0,-1.813
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555
L-alanyl-L-tryptophan,-8.38,275.308,-1.625,4,4,-2.892
Acetic acid,-6.079,60.052,-0.223,1,2,0.633
Diazinon,-5.617,304.34,4.192,0,2,-3.889
Ethacrynic acid,-7.38,303.14,3.656,1,4,-4.743
Linolenic acid,-5.988,278.436,6.06,1,2,-7.167
Octylparaben,-5.588,250.338,4.775,1,2,-4.638
Oleic acid,-6.442,282.468,6.784,1,2,-7.416
Propylparaben,-5.41,180.203,2.552,1,2,-2.046
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453
Diclofenac,-6.556,296.15,4.259,2,3,-4.298
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504
Naproxen,-6.096,230.263,2.986,1,3,-3.447
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
