Compound,LogKp,MW,LogP,HBD,HBA,LogS
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866
Bromoform,-4.234,252.731,2.276,0,0,-2.172
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034
Chloroform ,-4.352,119.37,1.825,0,0,-1.666
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744
Benzyl nicotinate,-5.348,213.236,2.484,0,2,-2.391
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Lindane,-8.784,290.81,4.346,0,0,-4.211
Nicorandil,-7.131,211.177,-0.162,1,5,-1.582
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Triclosan,-7.269,289.54,4.982,1,1,-5.275
Chlorpyrifos,-7.158,350.57,4.784,0,1,-6.057
