Compound,LogKp,MW,LogP,HBD,HBA,LogS
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Histidine,-7.812,155.157,-3.616,3,4,-0.444
Lysine,-7.328,146.19,-3.215,3,4,0.116
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Boric acid,-7.199,61.83,-0.509,3,3,1.829
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52
Atropine,-8.635,289.375,1.571,1,3,-1.614
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351
Digitoxin,-8.442,764.95,3.597,5,12,-3.788
Ephedrine,-6.326,165.236,1.318,2,2,-1.172
Estradiol,-5.829,272.388,3.746,2,2,-3.986
Fentanyl,-5.556,336.479,3.815,0,2,-4.077
Ouabain,-9.653,584.659,-2.782,8,11,-0.807
Scopolamine,-9.128,303.358,0.895,1,4,-2.079
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611
Morphine,-9.352,285.343,0.895,2,4,-1.415
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Amphetamine,-8.409,135.21,1.804,1,1,-1.4
Indomethacin,-6.997,357.79,3.53,1,4,-4.252
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244
