Compound,LogKp,MW,LogP,HBD,HBA,LogS
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742
Carvacrol,-4.81,150.221,3.428,1,1,-2.756
Chlorocresol,-5,142.58,2.787,1,1,-2.021
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288
Methyl salicylate,-5,152.149,2.323,1,2,-1.288
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051
Thymol,-4.77,150.221,3.428,1,1,-2.756
