Compound,LogKp,MW,LogP,HBD,HBA,LogS
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141
1-Butanol,-7.778,74.123,0.805,1,1,-0.21
1-Decanol,-9.653,158.285,3.473,1,1,-3.451
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319
1-Methoxy-2-Propanol,-6.459,90.122,-0.149,1,2,0.504
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918
1-Octanol,-8.556,130.231,2.584,1,1,-2.383
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758
1-Propanol,-7.352,60.096,0.361,1,1,0.341
17-Hydroxyprogesterone,-6.778,330.468,3.401,1,3,-4.674
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514
2-(2-Ethoxyethoxy)ethanol,-7.436,134.175,-0.256,1,3,0.386
2-(2-Methoxyethoxy)ethanol,-7.242,120.148,-0.613,1,3,0.748
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539
2-Butoxyethanol,-7.226,118.176,0.758,1,2,-0.444
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517
2-Ethoxyethyl acetate,-6.649,122.167,2.628,1,1,-1.75
2-Ethylhexanol,-4.343,130.231,2.504,1,1,-2.332
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744
2-Methoxyethanol,-6.095,76.095,-0.566,1,2,0.889
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979
"4,4'-Methylenedianiline",-6.219,198.269,2.407,2,2,-3.028
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
4-Hydroxybenzyl alcohol,-6.255,124.139,0.902,2,2,-0.482
4-Hydroxyphenylacetamide,-6.903,151.165,0.5,2,2,-0.742
4-Hydroxyphenylacetic acid,-6.158,152.149,1.307,2,3,-0.645
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196
Acetic acid,-6.079,60.052,-0.223,1,2,0.633
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394
Aldosterone,-9.079,360.45,1.056,2,5,-2.621
Amobarbital,-6.021,226.276,1.893,2,3,-3.091
Amphetamine,-8.409,135.21,1.804,1,1,-1.4
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Atenolol,-7.857,266.341,0.425,3,4,-1.572
